TOOL_LEPRECHAUN~|~translationMissing
MOLANISK~|~translationMissing
ABERRANT_SPECTRE~|~translationMissing
ABERRANT_SPECTRE_~|~translationMissing
NECHRYAEL~|~translationMissing
TWIG~|~translationMissing
DEATH_SPAWN~|~translationMissing
NECHRYAEL_~|~translationMissing
HUDO~|~translationMissing
PILES~|~translationMissing
ROMETTI~|~translationMissing
GULLUCK~|~translationMissing
HECKEL_FUNCH~|~translationMissing
RUG_MERCHANT~|~translationMissing
RUG_MERCHANT_~|~translationMissing
MONKEY~|~translationMissing
ZOMBIE~|~translationMissing
ZOMBIE_~|~translationMissing
SUMMONED_ZOMBIE~|~translationMissing
SKELETON~|~translationMissing
SKELETON_~|~translationMissing
SKELETON_MAGE~|~translationMissing
GHOST~|~translationMissing
GHOST_~|~translationMissing
ROCK_CRAB~|~translationMissing
ROCKS~|~translationMissing
ROCK_CRAB_~|~translationMissing
ROCKS_~|~translationMissing
HELLHOUND~|~translationMissing
HELLHOUND_~|~translationMissing
WOLF~|~translationMissing
WHITE_WOLF~|~translationMissing
WHITE_WOLF_~|~translationMissing
BIG_WOLF~|~translationMissing
WOLF_~|~translationMissing
DOG~|~translationMissing
WILD_DOG~|~translationMissing
WILD_DOG_~|~translationMissing
GUARD_DOG~|~translationMissing
BIG_WOLF_~|~translationMissing
IGNATIUS_VULCAN~|~translationMissing
CRAWLING_HAND~|~translationMissing
COCKATRICE~|~translationMissing
BASILISK~|~translationMissing
KURASK~|~translationMissing
ABYSSAL_DEMON~|~translationMissing
LEFT_HEAD~|~translationMissing
MIDDLE_HEAD~|~translationMissing
RIGHT_HEAD~|~translationMissing
KALPHITE_QUEEN~|~translationMissing
TENTACLE~|~translationMissing
GUARD_DOG_~|~translationMissing
HOBGOBLIN~|~translationMissing
TROLL~|~translationMissing
HUGE_SPIDER~|~translationMissing
OGRE~|~translationMissing
BABY_RED_DRAGON~|~translationMissing
KALPHITE_SOLDIER~|~translationMissing
STEEL_DRAGON~|~translationMissing
DAGANNOTH~|~translationMissing
TOKXIL~|~translationMissing
DEMON~|~translationMissing
ROCNAR~|~translationMissing
HANGMAN_GAME~|~translationMissing
HANGMAN_GAME_~|~translationMissing
TREASURE_FAIRY~|~translationMissing
JACKY_JESTER~|~translationMissing
COMBAT_STONE~|~translationMissing
COMBAT_STONE_~|~translationMissing
RICK~|~translationMissing
MAID~|~translationMissing
COOK~|~translationMissing
BUTLER~|~translationMissing
DEMON_BUTLER~|~translationMissing
JUNGLE_WOLF~|~translationMissing
MACARONI_PENGUIN~|~translationMissing
BUTTERFLY~|~translationMissing
BUTTERFLY_~|~translationMissing
KING_BLACK_DRAGON~|~translationMissing
BLACK_DEMON~|~translationMissing
BABY_BLUE_DRAGON~|~translationMissing
BABY_BLUE_DRAGON_~|~translationMissing
BABY_RED_DRAGON_~|~translationMissing
RED_DRAGON~|~translationMissing
RED_DRAGON_~|~translationMissing
BLACK_DRAGON~|~translationMissing
BLACK_DRAGON_~|~translationMissing
GREEN_DRAGON~|~translationMissing
GREEN_DRAGON_~|~translationMissing
BLUE_DRAGON~|~translationMissing
BLUE_DRAGON_~|~translationMissing
BRONZE_DRAGON~|~translationMissing
BRONZE_DRAGON_~|~translationMissing
IRON_DRAGON~|~translationMissing
IRON_DRAGON_~|~translationMissing
STEEL_DRAGON_~|~translationMissing
TOWN_CRIER~|~translationMissing
TOWN_CRIER_~|~translationMissing
GULL~|~translationMissing
CORMORANT~|~translationMissing
PELICAN~|~translationMissing
GULL_~|~translationMissing
CORMORANT_~|~translationMissing
PELICAN_~|~translationMissing
GHOUL~|~translationMissing
DWARF~|~translationMissing
CHAOS_DWARF~|~translationMissing
DWARF_~|~translationMissing
ADVENTURER_JON~|~translationMissing
THORDUR~|~translationMissing
THORDUR_~|~translationMissing
GUNTHOR_THE_BRAVE~|~translationMissing
JAILER~|~translationMissing
BLACK_HEATHER~|~translationMissing
DONNY_THE_LAD~|~translationMissing
SPEEDY_KEITH~|~translationMissing
SALARIN_THE_TWISTED~|~translationMissing
JENNIFER~|~translationMissing
LUMBRIDGE_GUIDE~|~translationMissing
DR_JEKYLL~|~translationMissing
EMBLEM_TRADER~|~translationMissing
REACHER~|~translationMissing
AYESHA~|~translationMissing
IRON_MAN_TUTOR~|~translationMissing
FROG~|~translationMissing
REACHER_~|~translationMissing
DR_JEKYLL_~|~translationMissing
LEAGUES_TUTOR~|~translationMissing
LEAGUES_TUTOR_~|~translationMissing
DARK_CORE~|~translationMissing
CORPOREAL_BEAST~|~translationMissing
DARK_ENERGY_CORE~|~translationMissing
MIME~|~translationMissing
DRUNKEN_DWARF~|~translationMissing
STRANGE_PLANT~|~translationMissing
GENIE~|~translationMissing
GENIE_~|~translationMissing
SWARM~|~translationMissing
STRANGE_WATCHER~|~translationMissing
STRANGE_WATCHER_~|~translationMissing
SERGEANT_DAMIEN~|~translationMissing
SUSPECT~|~translationMissing
SUSPECT_~|~translationMissing
MOLLY~|~translationMissing
MOLLY_~|~translationMissing
PRISON_PETE~|~translationMissing
BALLOON_ANIMAL~|~translationMissing
BALLOON_ANIMAL_~|~translationMissing
FREAKY_FORESTER~|~translationMissing
PHEASANT~|~translationMissing
PHEASANT_~|~translationMissing
RICK_TURPENTINE~|~translationMissing
RICK_TURPENTINE_~|~translationMissing
PHOSANIS_NIGHTMARE~|~translationMissing
THE_NIGHTMARE~|~translationMissing
QUIZ_MASTER~|~translationMissing
PILLORY_GUARD~|~translationMissing
TRAMP~|~translationMissing
TRAMP_~|~translationMissing
MAN~|~translationMissing
AVAN~|~translationMissing
AVAN_~|~translationMissing
DARK_CORE_~|~translationMissing
EVIL_BOB~|~translationMissing
EVIL_BOB_~|~translationMissing
SERVANT~|~translationMissing
SERVANT_~|~translationMissing
ROD_FISHING_SPOT~|~translationMissing
CAT~|~translationMissing
JON~|~translationMissing
GUARD~|~translationMissing
GUARD_~|~translationMissing
TURAEL~|~translationMissing
MAZCHNA~|~translationMissing
VANNAKA~|~translationMissing
CHAELDAR~|~translationMissing
DURADEL~|~translationMissing
CAVE_CRAWLER~|~translationMissing
CAVE_CRAWLER_~|~translationMissing
KURASK_~|~translationMissing
GARGOYLE~|~translationMissing
GARGOYLE_~|~translationMissing
BANSHEE~|~translationMissing
ABYSSAL_DEMON_~|~translationMissing
BASILISK_~|~translationMissing
COCKATRICE_~|~translationMissing
ROCKSLUG~|~translationMissing
ROCKSLUG_~|~translationMissing
DUST_DEVIL~|~translationMissing
SKOTOS~|~translationMissing
TUROTH~|~translationMissing
TUROTH_~|~translationMissing
PYREFIEND~|~translationMissing
PYREFIEND_~|~translationMissing
JELLY~|~translationMissing
JELLY_~|~translationMissing
INFERNAL_MAGE~|~translationMissing
INFERNAL_MAGE_~|~translationMissing
CRAWLING_HAND_~|~translationMissing
LIZARD~|~translationMissing
DESERT_LIZARD~|~translationMissing
DESERT_LIZARD_~|~translationMissing
SMALL_LIZARD~|~translationMissing
SMALL_LIZARD_~|~translationMissing
HARPIE_BUG_SWARM~|~translationMissing
SKELETAL_WYVERN~|~translationMissing
SKELETAL_WYVERN_~|~translationMissing
